group_by_sex,group_by_1,group_by_label_1,group_by_value_1,group_by_2,variable,prevalence,mean,median,sd,percentile_025,percentile_750
NA,Bin,bin 2,2,NA,Oxygen_cat6_1,0.3,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,Oxygen_cat6_2,23.9,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,Oxygen_cat6_3,8.6,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,Oxygen_cat6_4,0,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,Oxygen_cat6_5,18.5,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,P4A_cat4_0,29.6,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,P4A_cat4_1,48.9,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,P4A_cat4_2,16,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,P4A_cat4_3,5.5,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,P4B_cat4_0,63.1,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,P4B_cat4_1,24.1,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,P4B_cat4_2,8,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,P4B_cat4_3,4.7,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,Renal_cat4_0,82.1,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,Renal_cat4_1,15.7,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,Renal_cat4_2,0.1,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,Renal_cat4_3,2.1,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,Sex_cat2_0,37.6,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,Sex_cat2_1,62.4,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,Age_cont,NA,80.25,82,10.74,74,88
NA,Bin,bin 3,3,NA,A1_cat7_0,12.7,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,A1_cat7_1,12.2,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,A1_cat7_2,12.3,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,A1_cat7_3,13.9,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,A1_cat7_4,15.1,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,A1_cat7_5,15.1,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,A1_cat7_6,18.5,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,A2_cat5_0,54.2,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,A2_cat5_1,14.3,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,A2_cat5_2,6.8,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,A2_cat5_3,21.7,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,A2_cat5_4,2.9,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,ADL_cat7_0,9.9,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,ADL_cat7_1,8.3,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,ADL_cat7_2,19.2,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,ADL_cat7_3,10.1,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,ADL_cat7_4,20.6,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,ADL_cat7_5,20.5,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,ADL_cat7_6,11.3,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,B2B_cat2_0,57.9,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,B2B_cat2_1,42.1,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,BB6_cat5_0,17.7,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,BB6_cat5_1,10.3,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,BB6_cat5_2,5.7,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,BB6_cat5_3,10.7,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,BB6_cat5_4,55.7,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,Cancer_cat6_0,28.3,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,Cancer_cat6_1,0.1,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,Cancer_cat6_2,0.1,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,Cancer_cat6_3,64.1,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,Cancer_cat6_4,0.2,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,Cancer_cat6_5,7.2,NA,NA,NA,NA,NA
NA,Bin,bin 3,3,NA,H3_cat2_0,3.8,NA,NA,NA,NA,NA
